# VBias1	amplitude
# "VBias1"	"amplitude"
# 25
-0.0001	-9.9999968161367e-10
-9.2e-05	-9.19999707084577e-10
-8.4e-05	-8.39999732555483e-10
-7.6e-05	-7.59999758026389e-10
-6.8e-05	-6.79999783497296e-10
-6e-05	-5.99999808968202e-10
-5.2e-05	-5.19999834439109e-10
-4.4e-05	-4.39999859910015e-10
-3.6e-05	-3.59999885380921e-10
-2.8e-05	-2.79999910851828e-10
-2e-05	-1.99999936322734e-10
-1.2e-05	-1.19999961793641e-10
-4e-06	-3.99999872645468e-11
3.99999999999999e-06	3.99999872645467e-11
1.2e-05	1.1999996179364e-10
2e-05	1.99999936322734e-10
2.8e-05	2.79999910851828e-10
3.6e-05	3.59999885380921e-10
4.4e-05	4.39999859910015e-10
5.2e-05	5.19999834439108e-10
6e-05	5.99999808968202e-10
6.8e-05	6.79999783497296e-10
7.6e-05	7.59999758026389e-10
8.4e-05	8.39999732555483e-10
9.2e-05	9.19999707084577e-10
