# Acc1	amplitude
# "Acc1"	"amplitude"
# 875
284	3.01841632470842e-11
284.8	3.14121328482943e-11
285.6	3.26898956163862e-11
286.4	3.40194570291727e-11
287.2	3.5402902209465e-11
288	3.68423989943599e-11
288.8	3.83402011149745e-11
289.6	3.98986514899411e-11
290.4	4.15201856360065e-11
291.2	4.32073351991191e-11
292	4.49627316094118e-11
292.8	4.67891098635071e-11
293.6	4.86893124375865e-11
294.4	5.06662933346626e-11
295.2	5.27231222694867e-11
296	5.4862988994504e-11
296.8	5.70892077702334e-11
297.6	5.94052219834038e-11
298.4	6.18146089161116e-11
299.2	6.43210846691863e-11
300	6.69285092428486e-11
300.8	6.96408917776209e-11
301.6	7.24623959583144e-11
302.4	7.5397345583734e-11
303.2	7.84502303045563e-11
304	8.16257115315989e-11
304.8	8.49286285164435e-11
305.6	8.83640046060773e-11
306.4	9.1937053672881e-11
307.2	9.56531867209169e-11
308	9.95180186690432e-11
308.8	1.03537375310918e-10
309.6	1.07717300451416e-10
310.4	1.12064063218429e-10
311.2	1.16584165548331e-10
312	1.21284349842742e-10
312.8	1.26171606793387e-10
313.6	1.31253183371028e-10
314.4	1.36536590973509e-10
315.2	1.42029613726912e-10
316	1.47740316932731e-10
316.8	1.53677055652756e-10
317.6	1.59848483422026e-10
318.4	1.66263561078817e-10
319.2	1.72931565699055e-10
320	1.79862099620916e-10
320.8	1.87065099543546e-10
321.6	1.94550845681931e-10
322.4	2.02329970957854e-10
323.2	2.10413470204683e-10
324	2.18812709361305e-10
324.8	2.2753943462804e-10
325.6	2.36605781554612e-10
326.4	2.46024284027395e-10
327.2	2.55807883120077e-10
328	2.65969935768659e-10
328.8	2.76524223228232e-10
329.6	2.874849592654e-10
330.4	2.98866798036363e-10
331.2	3.10684841596675e-10
332	3.22954646984505e-10
332.8	3.35692232814825e-10
333.6	3.48914085317369e-10
334.4	3.62637163746484e-10
335.2	3.7687890508606e-10
336	3.91657227967644e-10
336.8	4.06990535714665e-10
337.6	4.22897718420338e-10
338.4	4.39398153961414e-10
339.2	4.56511707844438e-10
340	4.74258731775668e-10
340.8	4.92660060840267e-10
341.6	5.11737009170917e-10
342.4	5.31511363980638e-10
343.2	5.52005377829344e-10
344	5.73241758988687e-10
344.8	5.95243659765015e-10
345.6	6.18034662635887e-10
346.4	6.41638764051741e-10
347.2	6.66080355750908e-10
348	6.91384203433468e-10
348.8	7.17575422637514e-10
349.6	7.44679451660281e-10
350.4	7.727220213666e-10
351.2	8.01729121728125e-10
352	8.31726964939224e-10
352.8	8.62741944959167e-10
353.6	8.94800593335615e-10
354.4	9.27929531171571e-10
355.2	9.6215541710693e-10
356	9.97504891196851e-10
356.8	1.0340045145825e-09
357.6	1.07168070486528e-09
358.4	1.11055966711408e-09
359.2	1.1506673204555e-09
360	1.19202922022118e-09
360.8	1.23467047565224e-09
361.6	1.27861566319081e-09
362.4	1.32388873542066e-09
363.2	1.3705129257546e-09
364	1.41851064900488e-09
364.8	1.46790339801382e-09
365.6	1.51871163656659e-09
366.4	1.57095468885453e-09
367.2	1.62465062580696e-09
368	1.67981614866076e-09
368.8	1.73646647019005e-09
369.6	1.79461519407327e-09
370.4	1.85427419292982e-09
371.2	1.91545348561468e-09
372	1.97816111441418e-09
372.8	2.04240302284092e-09
373.6	2.10818293477747e-09
374.4	2.17550223576888e-09
375.2	2.24435985730927e-09
376	2.31475216500982e-09
376.8	2.3866728515709e-09
377.6	2.46011283551052e-09
378.4	2.53506016662338e-09
379.2	2.61149993915751e-09
380	2.68941421369995e-09
380.8	2.7687819487561e-09
381.6	2.84957894299011e-09
382.4	2.93177778906433e-09
383.2	3.01534783997462e-09
384	3.10025518872388e-09
384.8	3.18646266210975e-09
385.6	3.2739298293224e-09
386.4	3.36261302595648e-09
387.2	3.45246539393681e-09
388	3.54343693774205e-09
388.8	3.63547459718434e-09
389.6	3.72852233686805e-09
390.4	3.82252125230751e-09
391.2	3.91740969253486e-09
392	4.01312339887548e-09
392.8	4.10959565941335e-09
393.6	4.20675747851251e-09
394.4	4.30453776060771e-09
395.2	4.40286350732808e-09
396	4.50166002687522e-09
396.8	4.60085115444435e-09
397.6	4.70035948235429e-09
398.4	4.80010659844419e-09
399.2	4.90001333120035e-09
400	5e-09
400.8	5.09998666879966e-09
401.6	5.19989340155582e-09
402.4	5.29964051764572e-09
403.2	5.39914884555566e-09
404	5.49833997312478e-09
404.8	5.59713649267193e-09
405.6	5.69546223939229e-09
406.4	5.7932425214875e-09
407.2	5.89040434058666e-09
408	5.98687660112452e-09
408.8	6.08259030746515e-09
409.6	6.17747874769249e-09
410.4	6.27147766313196e-09
411.2	6.36452540281567e-09
412	6.45656306225795e-09
412.8	6.54753460606319e-09
413.6	6.63738697404353e-09
414.4	6.72607017067761e-09
415.2	6.81353733789026e-09
416	6.89974481127612e-09
416.8	6.98465216002539e-09
417.6	7.06822221093568e-09
418.4	7.1504210570099e-09
419.2	7.2312180512439e-09
420	7.31058578630005e-09
420.8	7.38850006084249e-09
421.6	7.46493983337662e-09
422.4	7.53988716448948e-09
423.2	7.61332714842911e-09
424	7.68524783499018e-09
424.8	7.75564014269074e-09
425.6	7.82449776423113e-09
426.4	7.89181706522253e-09
427.2	7.95759697715909e-09
428	8.02183888558582e-09
428.8	8.08454651438533e-09
429.6	8.14572580707018e-09
430.4	8.20538480592674e-09
431.2	8.26353352980995e-09
432	8.32018385133924e-09
432.8	8.37534937419304e-09
433.6	8.42904531114548e-09
434.4	8.48128836343341e-09
435.2	8.53209660198618e-09
436	8.58148935099513e-09
436.8	8.6294870742454e-09
437.6	8.67611126457935e-09
438.4	8.72138433680919e-09
439.2	8.76532952434776e-09
440	8.80797077977882e-09
440.8	8.8493326795445e-09
441.6	8.88944033288593e-09
442.4	8.92831929513472e-09
443.2	8.96599548541751e-09
444	9.00249510880315e-09
444.8	9.03784458289307e-09
445.6	9.07207046882843e-09
446.4	9.10519940666439e-09
447.2	9.13725805504084e-09
448	9.16827303506078e-09
448.8	9.19827087827188e-09
449.6	9.2272779786334e-09
450.4	9.25532054833972e-09
451.2	9.28242457736249e-09
452	9.30861579656653e-09
452.8	9.33391964424909e-09
453.6	9.35836123594826e-09
454.4	9.38196533736412e-09
455.2	9.40475634023499e-09
456	9.42675824101131e-09
456.8	9.44799462217066e-09
457.6	9.46848863601936e-09
458.4	9.48826299082908e-09
459.2	9.50733993915974e-09
460	9.52574126822434e-09
460.8	9.54348829215556e-09
461.6	9.56060184603859e-09
462.4	9.57710228157966e-09
463.2	9.59300946428534e-09
464	9.60834277203236e-09
464.8	9.62312109491394e-09
465.6	9.63736283625352e-09
466.4	9.65108591468263e-09
467.2	9.66430776718518e-09
468	9.6770453530155e-09
468.8	9.68931515840333e-09
469.6	9.70113320196364e-09
470.4	9.7125150407346e-09
471.2	9.72347577677177e-09
472	9.73403006423134e-09
472.8	9.74419211687993e-09
473.6	9.75397571597261e-09
474.4	9.76339421844539e-09
475.2	9.77246056537196e-09
476	9.78118729063869e-09
476.8	9.78958652979532e-09
477.6	9.79767002904215e-09
478.4	9.80544915431807e-09
479.2	9.81293490045646e-09
480	9.82013790037909e-09
480.8	9.82706843430095e-09
481.6	9.83373643892118e-09
482.4	9.84015151657797e-09
483.2	9.84632294434725e-09
484	9.85225968306727e-09
484.8	9.85797038627309e-09
485.6	9.86346340902649e-09
486.4	9.86874681662897e-09
487.2	9.87382839320661e-09
488	9.87871565015726e-09
488.8	9.88341583445167e-09
489.6	9.88793593678157e-09
490.4	9.89228269954859e-09
491.2	9.89646262468908e-09
492	9.90048198133096e-09
492.8	9.90434681327908e-09
493.6	9.90806294632712e-09
494.4	9.91163599539392e-09
495.2	9.91507137148356e-09
496	9.9183742884684e-09
496.8	9.92154976969544e-09
497.6	9.92460265441627e-09
498.4	9.92753760404169e-09
499.2	9.93035910822238e-09
500	9.93307149075715e-09
500.8	9.93567891533081e-09
501.6	9.93818539108389e-09
502.4	9.9405947780166e-09
503.2	9.94291079222977e-09
504	9.9451370110055e-09
504.8	9.94727687773051e-09
505.6	9.94933370666534e-09
506.4	9.95131068756242e-09
507.2	9.95321089013649e-09
508	9.95503726839059e-09
508.8	9.95679266480088e-09
509.6	9.95847981436399e-09
510.4	9.96010134851006e-09
511.2	9.96165979888503e-09
512	9.96315760100564e-09
512.8	9.96459709779054e-09
513.6	9.96598054297083e-09
514.4	9.96731010438361e-09
515.2	9.96858786715171e-09
516	9.96981583675292e-09
516.8	9.97099594198216e-09
517.6	9.97213003780958e-09
518.4	9.97321990813787e-09
519.2	9.9742672684619e-09
520	9.97527376843365e-09
520.8	9.97624099433555e-09
521.6	9.97717047146497e-09
522.4	9.97806366643291e-09
523.2	9.97892198937957e-09
524	9.9797467961095e-09
524.8	9.98053939014914e-09
525.6	9.98130102472916e-09
526.4	9.98203290469422e-09
527.2	9.98273618834263e-09
528	9.98341198919826e-09
528.8	9.98406137771697e-09
529.6	9.98468538292997e-09
530.4	9.9852849940261e-09
531.2	9.9858611618754e-09
532	9.98641480049571e-09
532.8	9.98694678846473e-09
533.6	9.98745797027903e-09
534.4	9.98794915766221e-09
535.2	9.9884211308239e-09
536	9.9888746396714e-09
536.8	9.98931040497558e-09
537.6	9.98972911949289e-09
538.4	9.99013144904479e-09
539.2	9.99051803355646e-09
540	9.99088948805599e-09
540.8	9.99124640363571e-09
541.6	9.99158934837691e-09
542.4	9.99191886823944e-09
543.2	9.99223548791729e-09
544	9.99253971166163e-09
544.8	9.99283202407234e-09
545.6	9.99311289085927e-09
546.4	9.99338275957443e-09
547.2	9.99364206031605e-09
548	9.99389120640566e-09
548.8	9.99413059503919e-09
549.6	9.99436060791308e-09
550.4	9.99458161182623e-09
551.2	9.99479395925889e-09
552	9.99499798892921e-09
552.8	9.9951940263283e-09
553.6	9.99538238423476e-09
554.4	9.99556336320926e-09
555.2	9.99573725207005e-09
556	9.99590432835014e-09
556.8	9.99606485873673e-09
557.6	9.99621909949373e-09
558.4	9.99636729686782e-09
559.2	9.9965096874789e-09
560	9.99664649869534e-09
560.8	9.99677794899469e-09
561.6	9.99690424831044e-09
562.4	9.99702559836532e-09
563.2	9.99714219299158e-09
564	9.99725421843899e-09
564.8	9.99736185367072e-09
565.6	9.99746527064784e-09
566.4	9.99756463460269e-09
567.2	9.99766010430164e-09
568	9.99775183229767e-09
568.8	9.99783996517304e-09
569.6	9.99792464377258e-09
570.4	9.99800600342789e-09
571.2	9.99808417417279e-09
572	9.99815928095037e-09
572.8	9.998231443812e-09
573.6	9.99830077810859e-09
574.4	9.99836739467432e-09
575.2	9.99843140000333e-09
576	9.9984928964194e-09
576.8	9.99855198223908e-09
577.6	9.99860875192844e-09
578.4	9.99866329625367e-09
579.2	9.99871570242587e-09
580	9.99876605424014e-09
580.8	9.99881443220922e-09
581.6	9.99886091369198e-09
582.4	9.9989055730168e-09
583.2	9.99894848160022e-09
584	9.99898970806092e-09
584.8	9.9990293183292e-09
585.6	9.99906737575226e-09
586.4	9.99910394119531e-09
587.2	9.99913907313872e-09
588	9.99917282777149e-09
588.8	9.99920525908083e-09
589.6	9.99923641893851e-09
590.4	9.99926635718362e-09
591.2	9.99929512170222e-09
592	9.9993227585038e-09
592.8	9.99934931179479e-09
593.6	9.99937482404919e-09
594.4	9.99939933607641e-09
595.2	9.9994228870865e-09
596	9.99944551475277e-09
596.8	9.99946725527202e-09
597.6	9.99948814342237e-09
598.4	9.99950821261882e-09
599.2	9.99952749496671e-09
600	9.99954602131298e-09
600.8	9.99956382129548e-09
601.6	9.99958092339037e-09
602.4	9.99959735495764e-09
603.2	9.9996131422848e-09
604	9.99962831062897e-09
604.8	9.9996428842572e-09
605.6	9.99965688648532e-09
606.4	9.99967033971515e-09
607.2	9.99968326547039e-09
608	9.999695684431e-09
608.8	9.99970761646625e-09
609.6	9.99971908066653e-09
610.4	9.99973009537385e-09
611.2	9.99974067821117e-09
612	9.99975084611061e-09
612.8	9.99976061534048e-09
613.6	9.99977000153135e-09
614.4	9.99977901970101e-09
615.2	9.99978768427851e-09
616	9.9997960091272e-09
616.8	9.99980400756697e-09
617.6	9.99981169239547e-09
618.4	9.99981907590867e-09
619.2	9.99982616992044e-09
620	9.99983298578152e-09
620.8	9.99983953439761e-09
621.6	9.99984582624687e-09
622.4	9.99985187139665e-09
623.2	9.9998576795196e-09
624	9.99986325990916e-09
624.8	9.99986862149437e-09
625.6	9.99987377285423e-09
626.4	9.99987872223139e-09
627.2	9.9998834775453e-09
628	9.99988804640495e-09
628.8	9.99989243612098e-09
629.6	9.99989665371742e-09
630.4	9.99990070594288e-09
631.2	9.99990459928141e-09
632	9.9999083399628e-09
632.8	9.99991193397262e-09
633.6	9.99991538706173e-09
634.4	9.99991870475552e-09
635.2	9.99992189236275e-09
636	9.99992495498403e-09
636.8	9.99992789751998e-09
637.6	9.99993072467907e-09
638.4	9.99993344098518e-09
639.2	9.99993605078479e-09
640	9.99993855825398e-09
640.8	9.99994096740508e-09
641.6	9.99994328209311e-09
642.4	9.99994550602193e-09
643.2	9.99994764275018e-09
644	9.99994969569698e-09
644.8	9.99995166814738e-09
645.6	9.99995356325763e-09
646.4	9.99995538406022e-09
647.2	9.99995713346874e-09
648	9.99995881428255e-09
648.8	9.99996042919124e-09
649.6	9.99996198077895e-09
650.4	9.99996347152848e-09
651.2	9.99996490382531e-09
652	9.99996627996137e-09
652.8	9.99996760213871e-09
653.6	9.99996887247306e-09
654.4	9.9999700929972e-09
655.2	9.99997126566419e-09
656	9.9999723923505e-09
656.8	9.99997347485905e-09
657.6	9.99997451492205e-09
658.4	9.9999755142038e-09
659.2	9.99997647430335e-09
660	9.99997739675702e-09
660.8	9.99997828304093e-09
661.6	9.9999791345733e-09
662.4	9.99997995271674e-09
663.2	9.99998073878045e-09
664	9.99998149402227e-09
664.8	9.99998221965075e-09
665.6	9.99998291682702e-09
666.4	9.99998358666672e-09
667.2	9.99998423024171e-09
668	9.99998484858184e-09
668.8	9.99998544267658e-09
669.6	9.99998601347659e-09
670.4	9.99998656189528e-09
671.2	9.99998708881022e-09
672	9.99998759506459e-09
672.8	9.99998808146848e-09
673.6	9.99998854880025e-09
674.4	9.99998899780772e-09
675.2	9.9999894292094e-09
676	9.99998984369561e-09
676.8	9.99999024192961e-09
677.6	9.99999062454866e-09
678.4	9.99999099216504e-09
679.2	9.99999134536699e-09
680	9.99999168471972e-09
680.8	9.99999201076627e-09
681.6	9.99999232402836e-09
682.4	9.99999262500729e-09
683.2	9.99999291418469e-09
684	9.99999319202329e-09
684.8	9.9999934589677e-09
685.6	9.99999371544508e-09
686.4	9.99999396186586e-09
687.2	9.99999419862435e-09
688	9.99999442609941e-09
688.8	9.99999464465507e-09
689.6	9.99999485464104e-09
690.4	9.99999505639335e-09
691.2	9.99999525023485e-09
692	9.99999543647572e-09
692.8	9.99999561541399e-09
693.6	9.99999578733599e-09
694.4	9.99999595251684e-09
695.2	9.99999611122086e-09
696	9.99999626370202e-09
696.8	9.9999964102043e-09
697.6	9.99999655096216e-09
698.4	9.99999668620082e-09
699.2	9.9999968161367e-09
