# P1	amplitude
# "P1"	"amplitude"
# 875
-500	0.00344746388565166
-499.2	1.45485430081296e-06
-498.4	-0.000484758078391988
-497.6	-0.000848954183614724
-496.8	-0.000741818365269464
-496	0.00213999342689227
-495.2	0.000265634903100523
-494.4	3.76396487042372e-05
-493.6	0.000309775285953961
-492.8	8.64061867342254e-05
-492	0.00260490974611699
-491.2	0.00105796986591376
-490.4	0.00410165808585185
-489.6	0.00129141859637742
-488.8	-0.00496078545486309
-488	0.000959946197236327
-487.2	0.00282172210203513
-486.4	0.00391052189051344
-485.6	-0.00193567185596032
-484.8	0.00318995221544725
-484	0.000376447290914788
-483.2	0.00455779566093412
-482.4	-0.00141145031349065
-481.6	-0.00260448199882146
-480.8	0.000709419206471522
-480	0.00350565646421425
-479.2	0.00349200394599981
-478.4	0.000280974261316619
-477.6	-0.0048727463020274
-476.8	-0.00322859691990861
-476	-0.000462104616537727
-475.2	-0.00137905994297666
-474.4	0.00126763438765313
-473.6	0.00426937214214621
-472.8	-0.00480178403943675
-472	-0.00261779147549899
-471.2	0.00189023126480817
-470.4	-0.00108967311266441
-469.6	-0.000440352520719233
-468.8	-0.00216841057521066
-468	0.00298412382825006
-467.2	0.00299882237626009
-466.4	0.00178424399259473
-465.6	0.00187115122037776
-464.8	-0.000304493772686849
-464	-0.00430932207675932
-463.2	-0.00414592831162131
-462.4	0.000527566470292377
-461.6	0.00166627152631151
-460.8	-0.0037849293945819
-460	-0.00132009332440796
-459.2	-0.00334065456888684
-458.4	-0.00473029606310696
-457.6	0.00278802233917109
-456.8	-0.00202365079453709
-456	0.000265787159758149
-455.2	-0.00453083099274223
-454.4	0.00334776372008989
-453.6	0.00375691283996526
-452.8	-0.00109306290629305
-452	-0.00283717658578719
-451.2	-0.000708844473241924
-450.4	0.00312769881444831
-449.6	-0.000954441077255667
-448.8	-0.00073726429279797
-448	0.000201260552327068
-447.2	0.00223612869263149
-446.4	0.00115530509921973
-445.6	-0.000197013678657598
-444.8	2.20431168507041e-06
-444	0.00196548330831678
-443.2	0.000806110907836887
-442.4	0.00100174374353263
-441.6	-0.00447687805371416
-440.8	-0.00336986812877227
-440	0.00381019443957052
-439.2	-0.00367300204417447
-438.4	-0.00295840644998805
-437.6	-0.0016497662753902
-436.8	-2.12459282035848e-06
-436	0.00346890448001571
-435.2	-0.00132122845113183
-434.4	0.00216311565130132
-433.6	0.00176171104997242
-432.8	0.000796240417878223
-432	-0.00239063706380987
-431.2	-0.00134561391443745
-430.4	0.00199205064978231
-429.6	-0.00248884467642123
-428.8	-0.000406230066842032
-428	-0.000393383886561887
-427.2	0.0019533289872705
-426.4	-0.00197809492835975
-425.6	-0.00296908915625245
-424.8	0.000159257968041662
-424	-0.00458085517270945
-423.2	-0.00364571838783554
-422.4	0.00492657587663766
-421.6	0.00110158865722404
-420.8	0.00365550930073244
-420	-0.00366906313680214
-419.2	0.00438054008169049
-418.4	0.00247408222632817
-417.6	0.00199294278546958
-416.8	-0.00284540455694341
-416	-0.00037952461938663
-415.2	0.0020310334485516
-414.4	-0.00432144407143963
-413.6	-0.00144993432387806
-412.8	-0.000258986541214506
-412	0.00382427752727004
-411.2	-0.000318926994893753
-410.4	-0.00142116899459254
