# P1	amplitude
# "P1"	"amplitude"
# 875
0	2.99066913967872
0.8	2.98823415164573
1.6	2.99329013802221
2.4	2.99207826860606
3.2	2.99442759275179
4	2.99284223659466
4.8	2.99067534888248
5.6	2.99571255713242
6.4	2.99295003833787
7.2	2.99562516863754
8	2.9928847381823
8.8	2.99739897038365
9.6	2.99050325735302
10.4	2.99799346048307
11.2	2.99730363107214
12	2.99135984819608
12.8	2.99179580278182
13.6	2.99022003336308
14.4	2.99500018442915
15.2	2.99682913323897
16	2.99069527027424
16.8	2.98982774341641
17.6	2.99657388553209
18.4	2.99539731464684
19.2	2.99066556780346
20	2.99289910070196
20.8	2.99487694173438
21.6	2.98897128494517
22.4	2.98911770735396
23.2	2.99050764019824
24	2.99152875465704
24.8	2.99393756924988
25.6	2.98891695465732
26.4	2.9913704272963
27.2	2.99270918526026
28	2.9957072639407
28.8	2.99343375574419
29.6	2.99442674493941
30.4	2.98884125404262
31.2	2.99389813726067
32	2.99377254831685
32.8	2.99330934040482
33.6	2.99432209076077
34.4	2.99026913792925
35.2	2.99101640467757
36	2.9939672184226
36.8	2.99293224741742
37.6	2.9913562033924
38.4	2.98970274688376
39.2	2.99124395024712
40	2.99197667783344
40.8	2.99785096912956
41.6	2.9953283855097
42.4	2.98939347041453
43.2	2.99079811319833
44	2.99398987106568
44.8	2.99049033071095
45.6	2.98918906360389
46.4	2.99291315606444
47.2	2.98836681480472
48	2.99686655237394
48.8	2.99439678116306
49.6	2.99446320761343
50.4	2.99079068289575
51.2	2.9976627279818
52	2.99262810231573
52.8	2.9951735637117
53.6	2.99061466348377
54.4	2.99182532491716
55.2	2.99768339048588
56	2.99241544729784
56.8	2.99098219381163
57.6	2.99066012484722
58.4	2.99580061738415
59.2	2.9926594345134
60	2.99719065237655
60.8	2.99370287703301
61.6	2.99241046936207
62.4	2.99382408884413
63.2	2.99756811525998
64	2.99428087747669
64.8	2.99561248636482
65.6	2.99017351369957
66.4	2.99163505657153
67.2	2.99273125763243
68	2.99071454455252
68.8	2.98863866122574
69.6	2.99717301804165
70.4	2.99539714842904
71.2	2.996124127229
72	2.99256287685098
72.8	2.9950577412133
73.6	2.99486303959813
74.4	2.98837543541879
75.2	2.98860461934007
76	2.9984720834829
76.8	2.99156382211396
77.6	2.99236082754289
78.4	2.99524853552889
79.2	2.99669608531499
80	2.99180922512411
80.8	2.99685961790173
81.6	2.99257024321329
82.4	2.9980635211236
83.2	2.99476624893989
84	2.99693901236978
84.8	2.99290111870215
85.6	2.9902769675705
86.4	2.99736056405482
87.2	2.99698943090684
88	2.99662301262058
88.8	2.99694821230233
89.6	2.99379735777983
90.4	2.99733364420815
91.2	2.98991836228469
92	2.99613150781289
92.8	2.98875988247725
93.6	2.99756739904223
94.4	2.98992253301223
95.2	2.9948374116703
96	2.99151469201754
96.8	2.98990022329368
97.6	2.99577042275054
98.4	2.99059760757541
99.2	2.98992813224366
100	2.9953320128483
100.8	2.9975908662611
101.6	2.99386974242321
102.4	2.99094196135515
103.2	2.99659186079925
104	2.99768710056074
104.8	2.99019132626515
105.6	2.99670664615279
106.4	2.98865686799687
107.2	2.9918802310256
108	2.99776935254491
108.8	2.99422444392021
109.6	2.99478058875354
110.4	2.99376531541379
111.2	2.99437155060436
112	2.99822251923642
112.8	2.98970972993931
113.6	2.99642253157451
114.4	2.99358703954734
115.2	2.99047526535822
116	2.98833843877357
116.8	2.99207142963234
117.6	2.99562707753186
118.4	2.99200981914808
119.2	2.99478849650407
120	2.98986686807919
120.8	2.99375999810848
121.6	2.99495935080557
122.4	2.9982805469555
123.2	2.99071124848691
124	2.99084038965102
124.8	2.99744011691385
125.6	2.99063297711652
126.4	2.98883433853131
127.2	2.99458285755284
128	2.99667066669266
128.8	2.99379402631206
129.6	2.99681447786706
130.4	2.99374795015868
131.2	2.99493845671833
132	2.98963810467206
132.8	2.99484699546131
133.6	2.99407828918569
134.4	2.99380372937339
135.2	2.99804489533663
136	2.99390192970949
136.8	2.99063625363067
137.6	2.99488961810306
138.4	2.99817013692661
139.2	2.99124154126231
140	2.99306257406063
140.8	2.98925756014557
141.6	2.99141358209984
142.4	2.99739372686733
143.2	2.99730341497744
144	2.99113556335324
144.8	2.99591189944299
145.6	2.98968633200498
146.4	2.99738457893771
147.2	2.99738831271795
148	2.98900537484661
148.8	2.99781540467503
149.6	2.99746036660086
150.4	2.99082929054011
151.2	2.99378561008431
152	2.99487767597004
152.8	2.99745978279955
153.6	2.99155240672833
154.4	2.98807754209083
155.2	2.99191752582649
156	2.99489360976355
156.8	2.99479889881404
157.6	2.99639680446181
158.4	2.99287481657677
159.2	2.99674087350622
160	2.99560633035633
160.8	2.99790317200597
161.6	2.99286108722521
162.4	2.99219972929326
163.2	2.99716915944943
164	2.991346011417
164.8	2.99385203253065
165.6	2.99156067854795
166.4	2.99736951378751
167.2	2.99182613199221
168	2.99470721732219
168.8	2.99720645869747
169.6	2.98983079612602
170.4	2.99132130368642
171.2	2.98941163082245
172	2.9927938331767
172.8	2.99341399672813
173.6	2.99604892329082
174.4	2.99036063304073
175.2	2.99693348887275
176	2.99783773252428
176.8	2.99168620952786
177.6	2.99363668302841
178.4	2.99462810750846
179.2	2.997446309297
180	2.99494081359417
180.8	2.99388601145203
181.6	2.98951318357211
182.4	2.99082697497588
183.2	2.99434973573771
184	2.99455170989955
184.8	2.98815242650469
185.6	2.9904042375841
186.4	2.99484235953757
187.2	2.98801922595838
188	2.98973337169159
188.8	2.9958553377976
189.6	2.99835498037297
190.4	2.99742051063777
191.2	2.9951111461061
192	2.98851068471918
192.8	2.99137510270563
193.6	2.99116072412459
194.4	2.99492894022325
195.2	2.99724873697347
196	2.99662922027813
196.8	2.99433700073606
197.6	2.99213028986077
198.4	2.99515634603809
199.2	2.99206175395713
200	2.99717070296958
200.8	2.9919705402996
201.6	2.98862288797957
202.4	2.99693020427144
203.2	2.98809577005334
204	2.98877202855849
204.8	2.99173959720672
205.6	2.99128615973489
206.4	2.99122545831249
207.2	2.99777121971302
208	2.98959189569608
208.8	2.99252199153033
209.6	2.98792686506182
210.4	2.99709196198623
211.2	2.99101662783531
212	2.99714413899481
212.8	2.99648925057197
213.6	2.98865914890962
214.4	2.99258839011788
215.2	2.99570240407685
216	2.99603396738348
216.8	2.98992237348022
217.6	2.99646116101226
218.4	2.99663107081688
219.2	2.99568238993946
220	2.99549769363751
220.8	2.99693765630228
221.6	2.99671951800112
222.4	2.99837617246162
223.2	2.9909201744536
224	2.99524062384085
224.8	2.99170319346683
225.6	2.99091007632017
226.4	2.99411916901533
227.2	2.9948461875527
228	2.99625235825541
228.8	2.99413163459799
229.6	2.99157760920676
230.4	2.99818076558463
231.2	2.98873380752564
232	2.98903091978841
232.8	2.99211756534416
233.6	2.99147661733216
234.4	2.99086062905001
235.2	2.98811704580357
236	2.99604919464628
236.8	2.9895944831266
237.6	2.9890750907755
238.4	2.9915520315407
239.2	2.98991571203074
240	2.99553129542938
240.8	2.99631788089094
241.6	2.99094967608791
242.4	2.99534372833481
243.2	2.99745333103347
244	2.99046675193849
244.8	2.99612135487541
245.6	2.99476170985876
246.4	2.98941616966729
247.2	2.99681936083161
248	2.99522211915175
248.8	2.99087689664346
249.6	2.99007955347179
250.4	2.99220230561574
251.2	2.99233705202378
252	2.99158195788859
252.8	2.99396537756837
253.6	2.99706233937341
254.4	2.9886434349175
255.2	2.98857466752283
256	2.99379292999943
256.8	2.99217691224019
257.6	2.99149260692733
258.4	2.98986684641174
259.2	2.99500707131225
260	2.98822330999781
260.8	2.99347579444752
261.6	2.99682365022651
262.4	2.99472318082037
263.2	2.99444438093201
264	2.99772392547543
264.8	2.99773631319473
265.6	2.99685561622256
266.4	2.99325976594228
267.2	2.99042522923777
268	2.9951113112684
268.8	2.98876506944189
269.6	2.9935746419718
270.4	2.9906649259848
271.2	2.99085008717856
272	2.9970310752082
272.8	2.98964332362974
273.6	2.99544090517076
274.4	2.99568193757894
275.2	2.98878373344556
276	2.99683420478009
276.8	2.98941166602382
277.6	2.99495844506537
278.4	2.99695282838392
279.2	2.99432165468205
280	2.99370981497691
280.8	2.99629482544319
281.6	2.98861609900451
282.4	2.99403644213441
283.2	2.99174057706273
284	2.99379369440859
284.8	2.99702426838073
285.6	2.99556130005804
286.4	2.9940678132296
287.2	2.9909471032285
288	2.99455992095739
288.8	2.9893789802791
289.6	2.9961572048393
290.4	2.99530516207664
291.2	2.99441080479436
292	2.9926139167605
292.8	2.98948574708703
293.6	2.99653641463799
294.4	2.99329109337387
295.2	2.99062578915937
296	2.99007784601068
296.8	2.99834704820615
297.6	2.99828225735038
298.4	2.98878687477261
299.2	2.99222169746211
300	2.99501685446792
300.8	2.99544732532456
301.6	2.99410162298839
302.4	2.99140724376354
303.2	2.99297083799719
304	2.9915521032913
304.8	2.99440800862982
305.6	2.98853281939737
306.4	2.99593269534006
307.2	2.99351552310952
308	2.99735763339613
308.8	2.99046333903429
309.6	2.99752072479652
310.4	2.98990937207473
311.2	2.99504630750895
312	2.99023408685471
312.8	2.99327025656774
313.6	2.99412334680407
314.4	2.98973568701003
315.2	2.99336618282229
316	2.99521799335135
316.8	2.98945293683405
317.6	2.98958848707641
318.4	2.99247443317284
319.2	2.99457982075685
320	2.99293637721179
320.8	2.99677084151913
321.6	2.99103344689307
322.4	2.99490051967787
323.2	2.98795484104807
324	2.99093397959524
324.8	2.99339383766264
325.6	2.9919871228296
326.4	2.99087571017447
327.2	2.99005580161484
328	2.98993515802909
328.8	2.99255876631542
329.6	2.9917171151993
330.4	2.98965907467718
331.2	2.99794325009507
332	2.99287948753541
332.8	2.9921651507064
333.6	2.99206487703973
334.4	2.99593663661962
335.2	2.99143684179543
336	2.99186883917726
336.8	2.99715089971076
337.6	2.99635416790464
338.4	2.99412264486228
339.2	2.99231954270978
340	2.99089240144094
340.8	2.99626045315897
341.6	2.99362686204508
342.4	2.99106204155421
343.2	2.99414382526002
344	2.9967984788648
344.8	2.99375268849348
345.6	2.9968313053472
346.4	2.99084545453781
347.2	2.99252258940873
348	2.98921605887015
348.8	2.99762766982105
349.6	2.99534985994827
350.4	2.99209846580495
351.2	2.99743947298102
352	2.98920788725761
352.8	2.99462264274023
353.6	2.99665862553913
354.4	2.99457354417221
355.2	2.99211519243788
356	2.9913412002683
356.8	2.99287165954489
357.6	2.99048927747562
358.4	2.99263106130465
359.2	2.99708805476076
360	2.99382905457063
360.8	2.99173421856444
361.6	2.99058350158416
362.4	2.99711439242294
363.2	2.99687016984298
364	2.99205963707957
364.8	2.99459516756955
365.6	2.99261119040743
366.4	2.99503126732995
367.2	2.99453633593568
368	2.99360435557923
368.8	2.99750292045555
369.6	2.9952397283598
370.4	2.98879385632549
371.2	2.99545988914289
372	2.99039839601027
372.8	2.99012591696809
373.6	2.98847472877953
374.4	2.99474723979005
375.2	2.99308988529187
376	2.99187327622984
376.8	2.99543063204203
377.6	2.99601039141439
378.4	2.9952556979168
379.2	2.9886449904631
380	2.9899675062887
380.8	2.99267937885401
381.6	2.99631461789705
382.4	2.99167950819719
383.2	2.99363389484063
384	2.98925935387999
384.8	2.99620062791328
385.6	2.99130990089509
386.4	2.99274362116081
387.2	2.99380633647471
388	2.98949854969487
388.8	2.99686467951519
389.6	2.99193372355917
390.4	2.99320965470516
391.2	2.98914244770162
392	2.99528814367396
392.8	2.99519750846974
393.6	2.99033845292238
394.4	2.99659178783165
395.2	2.99257519563439
396	2.99493201058845
396.8	2.98887436302826
397.6	2.99696275065142
398.4	2.99439423358205
399.2	2.98878209125882
400	2.99348477289451
400.8	2.99672048984186
401.6	2.99550923630808
402.4	2.99077404777125
403.2	2.99387717279955
404	2.9907957238058
404.8	2.99629075600133
405.6	2.99684543338611
406.4	2.98874980059723
407.2	2.98804695599422
408	2.99209184043129
408.8	2.99044966224613
409.6	2.99307510219319
410.4	2.99164935735346
411.2	2.99514538813922
412	2.99317390835912
412.8	2.99770638080347
413.6	2.98960208759334
414.4	2.99742813323951
415.2	2.99096506834468
416	2.99791231097985
416.8	2.99597433822926
417.6	2.99172810960685
418.4	2.99282564560249
419.2	2.99016061508985
420	2.99213205638417
420.8	2.99359812108096
421.6	2.99122364806055
422.4	2.99086542011642
423.2	2.9889131995635
424	2.99103316419297
424.8	2.99167358757014
425.6	2.99707717831029
426.4	2.99722699888005
427.2	2.9955813930343
428	2.99707356340771
428.8	2.98937832573099
429.6	2.99662526189549
430.4	2.99393186104317
431.2	2.98994860873501
432	2.98962148428785
432.8	2.99137907744779
433.6	2.98853122453743
434.4	2.99778879853077
435.2	2.99815232003334
436	2.99672529018682
436.8	2.99322525073403
437.6	2.99495075827057
438.4	2.99197472045156
439.2	2.99522709758328
440	2.99630966771393
440.8	2.993877402967
441.6	2.99443157510217
442.4	2.9904014859196
443.2	2.99777544160423
444	2.98842088461451
444.8	2.99746029310759
445.6	2.99793555271358
446.4	2.99356480882005
447.2	2.99424609339612
448	2.99461086367612
448.8	2.9951287193865
449.6	2.99468787315456
450.4	2.99493976509041
451.2	2.99746650273885
452	2.99654602452983
452.8	2.99297233539563
453.6	2.9938552044604
454.4	2.99587895544923
455.2	2.99467979605431
456	2.99324527646699
456.8	2.99861974902287
457.6	2.99339098987735
458.4	2.99064869996126
459.2	2.99568457896898
460	2.99472789679689
460.8	2.99022927867457
461.6	2.99614561599691
462.4	2.99711748387096
463.2	2.99579087332787
464	2.99199481292182
464.8	2.99569894760345
465.6	2.99591494089378
466.4	2.99707423581279
467.2	2.99506178587559
468	2.99233849256887
468.8	2.99064906565781
469.6	2.99111969954598
470.4	2.99287356517867
471.2	2.99743967854813
472	2.99090880146634
472.8	2.98872877057235
473.6	2.99237397254011
474.4	2.9959325179911
475.2	2.98906003226797
476	2.99066486360528
476.8	2.98959419072799
477.6	2.99534794799762
478.4	2.99569876690835
479.2	2.99160645234866
480	2.99679219327612
480.8	2.99838226939201
481.6	2.99719911519727
482.4	2.99017382232586
483.2	2.98897665134857
484	2.98895336969976
484.8	2.99583127017719
485.6	2.99675489578367
486.4	2.9931102566004
487.2	2.99756058866644
488	2.99379129516982
488.8	2.99107621003538
489.6	2.99462966421072
490.4	2.99708506813251
491.2	2.99445792001455
492	2.99674402329235
492.8	2.99716820692476
493.6	2.98842940917862
494.4	2.99509897165031
495.2	2.99079819738491
496	2.99229484016358
496.8	2.99564561436222
497.6	2.99183541203524
498.4	2.99700658654911
499.2	2.99360864769265
500	2.98922846483536
500.8	2.99677615841908
501.6	2.9909909514398
502.4	2.99832391927335
503.2	2.9891080980873
504	2.98946825049524
504.8	2.98898081252594
505.6	2.99825881328245
506.4	2.99468493116926
507.2	2.99832536507352
508	2.99169191604947
508.8	2.9978476152554
509.6	2.99277321584891
510.4	2.98830625004353
511.2	2.99327487370538
512	2.9893931004118
512.8	2.99119161185522
513.6	2.99152297154327
514.4	2.98815252743832
515.2	2.99777281249172
516	2.99090855358047
516.8	2.99473917598368
517.6	2.99369305052801
518.4	2.99733431924761
519.2	2.99147020290421
520	2.99644603954512
520.8	2.99790670569768
521.6	2.98866524324637
522.4	2.99200749845711
523.2	2.99230740608221
524	2.99816890211633
524.8	2.98877529800269
525.6	2.99314411268039
526.4	2.99745229124197
527.2	2.99669210558313
528	2.99560167823722
528.8	2.99087346597619
529.6	2.99764583809697
530.4	2.98827901256183
531.2	2.992330859544
532	2.99365165436322
532.8	2.99146455992737
533.6	2.99421206351513
534.4	2.98984185526312
535.2	2.9942077635802
536	2.99176572031582
536.8	2.99510991887563
537.6	2.99255167643998
538.4	2.99357700967683
539.2	2.99335708639555
540	2.99080670541457
540.8	2.99359141091988
541.6	2.99718622901462
542.4	2.99800389573638
543.2	2.98966421298753
544	2.99331664122292
544.8	2.99713702177401
545.6	2.98821835088548
546.4	2.99182324905459
547.2	2.99297522138986
